...Sting Like a Bee - 1,"If the Defender throws a Special Attack while far away from the Attacker, they gain an indefinite Cruelty, increasing Critical Damage Rating by 10%. Max Stacks: 5."
...Sting Like a Bee - 2,"If the Defender throws a Special Attack while far away from the Attacker, they gain an indefinite Cruelty, increasing Critical Damage Rating by 20%. Max Stacks: 5."
...Sting Like a Bee - 3,"If the Defender throws a Special Attack while far away from the Attacker, they gain an indefinite Cruelty, increasing Critical Damage Rating by 30%. Max Stacks: 5."
...You Get The Horns!,"Whenever the Defender is Intercepted or their Heavy Attack is Interrupted, they gain an indefinite Fury Passive increasing Attack Rating by 50% of their Base Attack. Upon gaining 5 Fury Passives this way, they are all removed and the Attacker gains a Fury Passive increasing Attack Rating by 200% of their Base Attack for 10 seconds."
"""Liberated"" Pym Particles",Certain Champions may experience enhanced cranial mass. Please consult a doctor or game developer if effects last longer than 24 hours.
"""Liberated"" Pym Particles - 2K22",Certain Champions may experience enhanced cranial mass. Please consult a doctor or game developer if effects last longer than 1 month.
"50,000 Points? 50,000 Damage!","Damage taken by the Defender is adjusted based on the length of the fight. •At the start of the fight, the Defender reduces damage taken by 90%. •After 20 seconds, the Defender reduces damage taken by 75%. •After 40 seconds, the Defender reduces damage taken by 50%. •After 60 seconds, the Defender increases damage taken by 100%. The Attacker’s Health is also fully restored. •After 120 seconds, the Defender increases damage taken by 200% for the rest of the fight. Also, the Attacker reduces all damage taken by 25% for the rest of the fight. These effects cannot be affected by Ability Accuracy."
A Good Defense,"The Attacker’s Well-Timed Blocks place a random Debuff from Weakness, Armor Break, Suppression, or Disorient on the Defender for 13 second(s). Each time the Attacker Dodges an Attack, place a random Buff from Fury, Armor Up, Power Gain, or Precision on the Attacker for 13 second(s)."
A Present for You: Hero,"#Hero Attackers gain an indefinite Energize Passive when the Defender activates a Special Attack, increasing Combat Power Rate by 200%. This Energize is removed when the Attacker's Combo falls to 0."
A Present for You: Villain,"#Villain Attackers gain an indefinite Energize Passive when the Defender activates a Special Attack, increasing Combat Power Rate by 200%. This Energize is removed when the Attacker's Combo falls to 0."
